episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/cur_lr
nan,nan,nan,nan,0,0,3,0,0,200,200,200,200,200,200,200,200,200,False,0,1,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.2300565242767334,0.2300565242767334,12740,panther,192.168.86.35,0.2300565242767334,0,1,7.419396877288818,200,200,200,200,nan,nan,nan,nan,0,0,[],[],223.02,0.343,582542.222,65.084,3072.93,6.636,200,200,200,200,34.8,44.0,[],[],200.0,1.0,0.0,0.0,0.01
0.0101009998979799,0.0101009998979799,0.0101009998979799,103.0,1,0,3,0,0,400,400,400,400,200,200,400,200,400,False,1,2,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.12113213539123535,0.35118865966796875,12740,panther,192.168.86.35,0.35118865966796875,0,2,7.419396877288818,400,400,400,400,0.0101009998979799,0.0101009998979799,0.0101009998979799,103.0,1,0,[0.0101009998979799],[103],167.877,0.326,613426.545,34.959,5720.936,6.104,400,400,400,400,,,[0.0101009998979799],[103],200.0,2.0,1.0,0.004592961,0.01
0.0101009998979799,0.0101009998979799,0.0101009998979799,103.0,0,0,3,0,0,600,600,600,600,200,200,600,200,600,False,1,3,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.11775374412536621,0.46894240379333496,12740,panther,192.168.86.35,0.46894240379333496,0,3,7.419396877288818,600,600,600,600,0.0101009998979799,0.0101009998979799,0.0101009998979799,103.0,0,0,[0.0101009998979799],[103],148.966,0.316,632466.047,24.76,8077.386,5.986,600,600,600,600,,,[0.0101009998979799],[103],200.0,3.0,2.0,0.0,0.01
0.0101009998979799,0.00446428372130191,0.007169907747066246,160.0,2,0,3,0,0,800,800,800,800,200,200,800,200,800,False,3,4,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.11601567268371582,0.5849580764770508,12740,panther,192.168.86.35,0.5849580764770508,0,4,7.419396877288818,800,800,800,800,0.0101009998979799,0.00446428372130191,0.007169907747066246,160.0,2,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929]","[103, 229, 148]",138.924,0.32,624733.42,19.639,10183.563,6.021,800,800,800,800,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929]","[103, 229, 148]",200.0,4.0,3.0,0.0057391985,0.01
0.02222217283961591,0.00446428372130191,0.012913037202292126,116.4,2,0,3,0,0,1000,1000,1000,1000,200,200,1000,200,1000,False,5,5,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.11361980438232422,0.698577880859375,12740,panther,192.168.86.35,0.698577880859375,0,5,7.419396877288818,1000,1000,1000,1000,0.02222217283961591,0.00446428372130191,0.012913037202292126,116.4,2,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975]","[103, 229, 148, 50, 52]",132.687,0.28,714532.198,16.445,12161.457,6.811,1000,1000,1000,1000,35.7,44.1,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975]","[103, 229, 148, 50, 52]",200.0,5.0,4.0,0.012489319,0.01
0.02222217283961591,0.00446428372130191,0.013206403164336423,106.14285714285714,2,0,3,0,0,1200,1200,1200,1200,200,200,1200,200,1200,False,7,6,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.1278858184814453,0.8264636993408203,12740,panther,192.168.86.35,0.8264636993408203,0,6,7.419396877288818,1200,1200,1200,1200,0.02222217283961591,0.00446428372130191,0.013206403164336423,106.14285714285714,2,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302]","[103, 229, 148, 50, 52, 63, 98]",130.773,0.283,707103.793,14.438,13852.645,7.007,1200,1200,1200,1200,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302]","[103, 229, 148, 50, 52, 63, 98]",200.0,6.0,5.0,0.009091924,0.01
0.02222217283961591,0.00446428372130191,0.014159764010125114,99.375,1,0,3,0,0,1400,1400,1400,1400,200,200,1400,200,1400,False,8,7,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-17,1674442757,0.12129759788513184,0.9477612972259521,12740,panther,192.168.86.35,0.9477612972259521,0,7,7.419396877288818,1400,1400,1400,1400,0.02222217283961591,0.00446428372130191,0.014159764010125114,99.375,1,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975]","[103, 229, 148, 50, 52, 63, 98, 52]",128.3,0.285,700551.849,13.004,15380.411,7.024,1400,1400,1400,1400,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975]","[103, 229, 148, 50, 52, 63, 98, 52]",200.0,7.0,6.0,0.012326122,0.01
0.02222217283961591,0.00446428372130191,0.014350122528754831,95.77777777777777,1,0,3,0,0,1600,1600,1600,1600,200,200,1600,200,1600,False,9,8,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.10048699378967285,1.048248291015625,12740,panther,192.168.86.35,1.048248291015625,0,8,7.419396877288818,1600,1600,1600,1600,0.02222217283961591,0.00446428372130191,0.014350122528754831,95.77777777777777,1,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576]","[103, 229, 148, 50, 52, 63, 98, 52, 67]",123.81,0.28,713544.54,11.81,16935.393,6.672,1600,1600,1600,1600,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576]","[103, 229, 148, 50, 52, 63, 98, 52, 67]",200.0,8.0,7.0,0.008658823,0.01
0.06666622222518517,0.00446428372130191,0.019584102697687063,85.0909090909091,2,0,3,0,0,1800,1800,1800,1800,200,200,1800,200,1800,False,11,9,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.11721420288085938,1.1654624938964844,12740,panther,192.168.86.35,1.1654624938964844,0,9,7.419396877288818,1800,1800,1800,1800,0.06666622222518517,0.00446428372130191,0.019584102697687063,85.0909090909091,2,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19]",122.42,0.263,761677.482,10.866,18406.116,6.677,1800,1800,1800,1800,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19]",200.0,9.0,8.0,0.025039352,0.01
0.06666622222518517,0.00446428372130191,0.01931821211858804,83.41666666666667,1,0,3,0,0,2000,2000,2000,2000,200,200,2000,200,2000,False,12,10,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.10520124435424805,1.2706637382507324,12740,panther,192.168.86.35,1.2706637382507324,0,10,7.419396877288818,2000,2000,2000,2000,0.06666622222518517,0.00446428372130191,0.01931821211858804,83.41666666666667,1,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65]",120.011,0.248,806286.813,10.08,19840.512,6.411,2000,2000,2000,2000,38.4,44.3,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65]",200.0,10.0,9.0,0.009647374,0.01
0.06666622222518517,0.00446428372130191,0.01931821211858804,83.41666666666667,0,0,3,0,0,2200,2200,2200,2200,200,200,2200,200,2200,False,12,11,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.10983514785766602,1.3804988861083984,12740,panther,192.168.86.35,1.3804988861083984,0,11,7.419396877288818,2200,2200,2200,2200,0.06666622222518517,0.00446428372130191,0.01931821211858804,83.41666666666667,0,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65]",108.012,0.236,845711.06,3.908,51181.257,6.283,2200,2200,2200,2200,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65]",200.0,11.0,10.0,0.0,0.01
0.24999375015624611,0.00446428372130191,0.03510197649636671,79.78571428571429,2,0,3,0,0,2400,2400,2400,2400,200,200,2400,200,2400,False,14,12,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.12062978744506836,1.5011286735534668,12740,panther,192.168.86.35,1.5011286735534668,0,12,7.419396877288818,2400,2400,2400,2400,0.24999375015624611,0.00446428372130191,0.03510197649636671,79.78571428571429,2,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877, 0.009615375369831375, 0.24999375015624611]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65, 108, 8]",108.053,0.228,876460.976,3.847,51992.067,6.226,2400,2400,2400,2400,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877, 0.009615375369831375, 0.24999375015624611]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65, 108, 8]",200.0,12.0,11.0,0.019085977,0.01
0.9999000099990001,0.00446428372130191,0.10445906298937739,68.41176470588235,3,0,3,0,0,2600,2600,2600,2600,200,200,2600,200,2600,False,17,13,default,eac56144d7d44429afa928935929e745,2023-01-22_18-59-18,1674442758,0.11931133270263672,1.6204400062561035,12740,panther,192.168.86.35,1.6204400062561035,0,13,7.419396877288818,2600,2600,2600,2600,0.9999000099990001,0.00446428372130191,0.10445906298937739,68.41176470588235,3,0,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877, 0.009615375369831375, 0.24999375015624611, 0.034482639715035464, 0.24999375015624611, 0.9999000099990001]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65, 108, 8, 33, 8, 5]",108.202,0.223,895549.055,3.805,52563.823,6.218,2600,2600,2600,2600,,,"[0.0101009998979799, 0.00446428372130191, 0.006944439621916929, 0.02222217283961591, 0.020833289930645975, 0.017241349583880027, 0.010638286555014302, 0.020833289930645975, 0.015872990677792576, 0.019607804690579038, 0.06666622222518517, 0.01639341574849877, 0.009615375369831375, 0.24999375015624611, 0.034482639715035464, 0.24999375015624611, 0.9999000099990001]","[103, 229, 148, 50, 52, 63, 98, 52, 67, 55, 19, 65, 108, 8, 33, 8, 5]",200.0,13.0,12.0,0.08823839,0.01
